license_num,status,license_type,issued,expires,business_name,dba_name,comments,location_comments,applicant,manager,day_phone,evening_phone,address,city,state,zip,gpsx,gpsy
CAL-431203,Active,Non-Live Entertainment,2020-09-18,2023-12-31,"Tasty Burger 6, LLC.",Tasty Burger,1 Entertainment is not permitted outside 2 Noise levels to exceed 70 dB any time may 50 between 11p m 7 per Boston Ordinance,,Christopher Gotreau,Christopher Gotreau,,,48-50   Winter ST,Boston,MA,02108,774564.680957079,2955027.78077997
CAL-432980,Active,Non-Live Entertainment,2020-08-21,2023-12-31,Smashburger Acquisition- Boston LLC,Smashburger #1725,1 Entertainment is not permitted outside 2 Noise levels to exceed 70 dB any time may 50 between 11pm 7am per Boston Ordinance 3 All windows amp doors must be closed during live entertainment,,Rachel Serillo,Rachel Serillo,(303)633-1544,,545-   Boylston ST,Boston,MA,02116,770830.176617087,2953149.22661327
CAL-430906,Active,Non-Live Entertainment,2020-08-14,2023-12-31,"Air Ventures, LLC.",Not Your Average Joe's,,,David Doward,David Doward,(617)567-3387,,200     Terminal RD,East Boston,MA,02128,786260.691515774,2957555.9447256
CAL-430927,Active,Non-Live Entertainment,2020-07-23,2023-12-31,"1260 Boylston Street, LLC.",SOJUba,1 Background music 30 widescreen TVs permitted inside establishment 2 Non live entertainment consisting background 11 on rooftop Live is prohibited 3 Sound levels may not exceed 70 dB any time 50 between p m to 7 per Boston Noise Ordinance 4 There shall be no cover charge 5 Doors windows should closed 00 whenever offered prevent emanation sound 6 Dance floor main only utilized during special events regular restaurant operations Instrumental nine 9 performers vocal,,Jin Chong,Jin Chong,(617)921-8999,,1265     Boylston ST,BOSTON,MA,02215,765279.194420442,2951102.63175231
CAL-425239,Active,Non-Live Entertainment,2020-03-09,2023-12-31,"Savin Restaurant Group, LLC.",Ghost Pepper,1 Entertainment is not permitted outside 2 Licensee may apply live entertainment via one time process 3 Noise levels to exceed 70 dB any 50 between11 00 p m 7 per Boston Ordinance 4 Capacity 120 persons,,Kenneth Osherow,Kenneth Osherow,(617)620-2161,,120-  Savin Hill AV,Dorchester,MA,02125,776984.738550603,2938903.49634825
CAL-424641,Active,Non-Live Entertainment,2020-03-02,2021-12-31,"ABM Partners, Inc.",Gyroscope,1 ENTERTAINMENT IS NOT PERMITTED OUTSIDE 2 SOUND TO EXCEED 70 DECIBELS ANY TIME 50 BETWEEN 11 P M 7 PER CITY BOSTON S NOISE ORDINANCE,,Bruce Sabokrooh,Bruce Sabokrooh,(617)755-5547,,305-   Huntington AVE,Boston,MA,02115,767731.401686713,2949658.84320697
CAL-423368,Active,Non-Live Entertainment,2020-02-28,2023-12-31,CAMI-1975 Corp.,Melodias Restaurant,1 No entertainment is permitted outside 2 Noise levels not to exceed 70 dB any time may 50 between 11 00p m 7 00,,Carlos Cespedes,Carlos Cespedes,(617)561-6400,(617)784-4594,1045-  Saratoga ST,East Boston,MA,02128,789866.734347329,2966054.22584623
CAL-423363,Active,Non-Live Entertainment,2020-02-25,2023-12-31,"HSI MCA BOS FB, LLC.",Santarpio's Pizza,,,Saikou Boiro,Saikou Boiro,(617)634-6068,,300     Logan Airport Terminal C  ,East Boston,MA,02128,0,0
CAL-423532,Active,Non-Live Entertainment,2020-02-25,2022-12-31,"OCEAN TREASURE, INC.",Double Chin,1 Entertainment is not permitted outside 2 Noise levels to exceed 70 dB any time may 50 between 11 00 p m 7 per Boston Ordinance,,Emily Chin,Emily Chin,(617)482-0682,,86-86A  Harrison AV,Boston,MA,02111,774756.926439571,2953144.70121941
CAL-423936,Active,Non-Live Entertainment,2020-02-21,2023-12-31,"Purple Shell Restaurant, Inc.",Purple Shell Bar & Kitchen,1 Entertainment is not permitted outside 2 Noise levels to exceed 70 dB any time may exceed50 between 11 00 p m 7 per Boston Ordinance,,Gan Chen,Gan Chen,(617)989-9982,,11- W Broadway ,South Boston,MA,02127,775998.975798358,2950104.87243208
CAL-423948,Active,Non-Live Entertainment,2020-02-21,2023-12-31,"Mitsos, Inc.",Krasi,1 No entertainment is permitted outside 2 Entertainment not to exceed 70 decibels any time may 50 between 11 p m 7 per Boston Noise Ordinance,,Demetri Tsolaka,Demetri Tsolaka,(617)536-0230,,48-   Gloucester ST,Boston,MA,02115,768592.553143516,2952362.34013748
CAL-423361,Active,Non-Live Entertainment,2020-02-20,2023-12-31,"CRG Water, LLC.",Woods Hill,1 ONE TELEVISION TO BE USED CONFERENCES MEETINGS 2 ENTERTAINMENT IS NOT PERMITTED OUTSIDE 3 SOUND EXCEED 70 DECIBELS ANY TIME 50 BETWEEN 11 P M 7 PER CITY BOSTON S NOISE ORDINANCE,,Kristin Canty,Kristin Canty,(617)981-4577,(617)216-0402,300-  Pier 4 BL,Boston,MA,02210,779925.896052025,2953839.44128866
CAL-423775,Active,Non-Live Entertainment,2020-02-20,2023-12-31,"TS Lodging Food and Beverage, LLC.",Moxy Hotel,1 Entertainment is not permitted outside 2 Noise levels to exceed 70 dB any time may 50 between 11 00p m 7 00 per Boston Ordinance,,William Harrington,William Harrington,(781)724-9271,,240-  Tremont ST,Boston,MA,02116,773812.72491494,2953218.94193193
CAL-423767,Active,Non-Live Entertainment,2020-02-19,2023-12-31,"THE BACK DECK, INC.",French Quarter,1 ENTERTAINMENT IS NOT PERMITTED OUTSIDE 2 SOUND TO EXCEED 70 DECIBELS ANY TIME 50 BETWEEN 11 P M 7 PER CITY BOSTON S NOISE ORDINANCE,,Bradley Fredericks,Bradley Fredericks,(617)426-1266,,545-  Washington ST,Boston,MA,02111,774377.785705778,2954289.756113
CAL-423442,Active,Non-Live Entertainment,2020-02-12,2023-12-31,"Shake Shack Seaport Boston, LLC.",Shake Shack,1 Entertainment is not permitted outside 2 Sound to exceed 70 decibels any time 50 between 11 p m 7 per city Boston s noise ordinance,,LC Cotten,LC Cotten,,,77-91  Seaport BLVD,Boston,MA,02210,778829.300213275,2953522.81627956
CAL-423192,Active,Live Entertainment,2020-02-06,2023-12-31,"American Craft Brewery, LLC",Samuel Adams Tap Room,1 Background music is permitted on outdoor patio until 10 00p m Granted Feb 2020 2 All windows amp doors must be closed during live entertainment 3 Entertainment Sound not to exceed 70 decibels any time 50 between 11 p 7 per city Boston s noise ordinance 4 Live may operated seven days 00 inside outside upon submission an Inspection Certificate with capacity space listed 5 Instrumental vocal six 6 performers each Cover charge shall posted in clear conspicuous place,,William DeCain III,William DeCain III,(617)368-5000,,60     State ST,Boston,MA,02109,776052.738014474,2956258.85937311
CAL-422292,Active,Non-Live Entertainment,2020-01-30,2022-12-31,"110 Grill SB Boston, LLC.",110 Grill,1 Entertainment is not permitted outside 2 Licensee may apply live entertainment through one time process,,Michael Chin,Michael Chin,,,25-  Jan Karski WY,Dorchester,MA,02125,774731.831018139,2943899.73829562
CAL-422196,Active,Non-Live Entertainment,2020-01-29,2022-12-31,"SELECT HOSPITALITY, LLC",Little Whale Oyster Bar,1 Entertainment is not permitted outside 2 Noise levels to exceed 70 dB any time may 50 after 11 00 p m until 7 per Boston Ordinance,,Michael Serpa,Michael Serpa,(617)818-6588,,314     Newbury ST,Boston,MA,02115,768259.633879214,2952337.39584947
CAL-422284,Active,Non-Live Entertainment,2020-01-27,2022-12-31,"Liuyishou Hotpot Boston, LLC.",Liuyishou Hotpot,1 Entertainment is not permitted outside 2 Only widescreen TV 3 TVs entertainment Projector may be used only restaurant information Sound to exceed 70 decibels any time 50 between 11 p m 7 per city Boston s noise ordinance,,LI WANG,LI WANG,(857)498-1243,,702-  Washington ST,Boston,MA,02111,774347.229294106,2953277.34307958
CAL-420609,Active,Non-Live Entertainment,2020-01-23,2023-12-31,Trustees of Boston College,Boston College Margo Connell Recreation Center,1 TABLES GAMES TO CONSIST 2 PING PONG FOOSBALL TABLE TVS WIDESCREEN SIZE 3 ENTERTAINMENT IS NOT PERMITTED OUTSIDE 4 SOUND EXCEED 70 DECIBELS ANY TIME 50 BETWEEN 11 P M 7 PER CITY BOSTON S NOISE ORDINANCE,,Thomas Keady,Thomas Keady,(617)552-4787,,140     Commonwealth AVE,Boston,MA,02467,770384.99999319,2953450.00001051
CAL-420460,Active,Non-Live Entertainment,2020-01-10,2023-12-31,"PIAROSA GROUP, INC.",Libertine,1 Entertainment is not permitted outside 2 Noise levels to exceed 70dB any time may 50 dB between 11 00 p m 7 per Boston Ordinance 3 Refer Alcohol Beverage license hours operation 　,,Shannon Macgowan,Shannon Macgowan,(617)936-4274,,125-   Salem ST,Boston,MA,02113,776331.690631569,2958224.58660835
CAL-419282,Active,Non-Live Entertainment,2020-01-08,2023-12-31,"Futago Ya, Inc.",Futago,1 ENTERTAINMENT IS NOT PERMITTED OUTSIDE 2 SOUND TO EXCEED 70 DECIBELS ANY TIME 50 BETWEEN 11 P M 7 PER CITY BOSTON S NOISE ORDINANCE,,Minh Bui,Minh Bui,(164)623-8361x7,,508-   Park DR,Boston,MA,02111,762722.999986052,2951980.00000913
CAL-419050,Active,Non-Live Entertainment,2020-01-03,2023-12-31,Dolce Fumo Restaurant Group Corp.,Rabia's Dolce Fumo,1 Entertainment is not permitted outside 2 Noise levels to exceed 70 dB any time may 50 between11pm 7am per Boston Ordinance,,Kim Fontaine,Kim Fontaine,(508)838-9075,,71-   Salem ST,Boston,MA,02113,776213.834014624,2957762.24030252
CAL-418753,Active,Non-Live Entertainment,2019-12-24,2023-12-31,"Back Street Boston Holdings, LLC.",Onyx Hotel,1 Entertainment is not permitted outside,,Jessica Lavin,Jessica Lavin,(617)557-9955,,155-   Portland ST,Boston,MA,02114,774716.438973218,2958052.22974278
CAL-418645,Active,Non-Live Entertainment,2019-12-20,2023-12-31,"Air Ventures, LLC.",Otto,,,David Doward,David Doward,(617)567-3387,,200     Terminal RD,East Boston,MA,02128,786260.691515774,2957555.9447256
CAL-418514,Active,Non-Live Entertainment,2019-12-19,2023-12-31,"Eat Real Food, LLC.",Gray's Hall,1 Entertainment is not permitted outside 2 All windows amp doors must be closed during live entertainment 3 Sound to exceed 70 decibels any time 50 between 11 p m 7 per city Boston s noise ordinance,,Andy Fadous,Andy Fadous,,,615- E Broadway ,South Boston,MA,02127,780624.088586738,2947576.88489294
CAL-418521,Active,Non-Live Entertainment,2019-12-19,2023-12-31,"Delaware North Boston Flight, LLC.",Mija Cantina,,,Mark Clemency,Mark Clemency,(857)322-1255,,300     Terminal RD,East Boston,MA,02128,0,0
CAL-418357,Active,Live Entertainment,2019-12-16,2023-12-31,"Room Escapers, LLC.",Room Escapers,1 Noise levels may not exceed 70db any time 50 dB between 11 00p m 7 00 per Boston Ordinance 2 Licensee apply other entertainment categories via one application process 3 Exhibition to include game play puzzle solving patrons gamemaster scripts acting 4 THIS LICENSE IS NOT VALID WITHOUT SUBMISSION INSPECTION CERTIFICATE TO ENTERTAINMENT DIVISION,,Jeffrey Boyer,Jeffrey Boyer,(850)803-1923,,114-120  Blackstone ST,Boston,MA,02109,775961.733394325,2957177.09461612
CAL-418167,Active,Non-Live Entertainment,2019-12-13,2023-12-31,"PB Husky, LLC.",Playa Bowls,1 Entertainment is not permitted outside,,Hung Lam,Hung Lam,(671)780-0303,,277-   Huntington AVE,Boston,MA,02115,767985.781782955,2949942.87091923
CAL-418169,Active,Non-Live Entertainment,2019-12-13,2023-12-31,"Only One Jamaican Restaurant III, Inc.",Only One Jamaican Restaurant,1 ENTERTAINMENT IS NOT PERMITTED OUTSIDE 2 SOUND TO EXCEED 70 DECIBELS ANY TIME 50 BETWEEN 11 P M 7 PER CITY BOSTON S NOISE ORDINANCE,,Stacy Wright,Stacy Wright,(617)620-3936,,1345-  Hyde Park AVE,Boston,MA,02136,757664.184955646,2917457.2812105
CAL-418260,Active,Live Entertainment,2019-12-13,2023-12-31,"Room Escapers, LLC.",Room Escapers,1 Noise levels may not exceed 70db any time 50 dB between 11 00p m 7 00 per Boston Ordinance 2 Licensee apply other entertainment categories via one application process 3 Exhibition to include game play puzzle solving patrons gamemaster scripts acting 4 THIS LICENSE IS NOT VALID WITHOUT SUBMISSION INSPECTION CERTIFICATE TO ENTERTAINMENT DIVISION,,Jeffrey Boyer,Jeffrey Boyer,(850)803-1923,,3-   School ST,Boston,MA,02108,775527.986493975,2955650.48858854
CAL-414685,Active,Non-Live Entertainment,2019-12-10,2023-12-31,"HSI MCA BOS FB, LLC.",Sam Adams Tap Room Extension and Eats,,,Saikou Boiro,Saikou Boiro,(617)634-6068,,300     Logan Airport Terminal B  ,East Boston,MA,02128,0,0
CAL-416768,Active,Non-Live Entertainment,2019-12-05,2023-12-31,"CHEESINE, INC.",Fromage,1 Entertainment is not permitted outside,,Tatyana Sukennik,Tatyana Sukennik,(617)347-2272,,399-401 W Broadway  ,South Boston,MA,02127,,
CAL-416625,Active,Non-Live Entertainment,2019-12-03,2023-12-31,"Adventure Investments Boston, LLC.",Fire + Ice Grill & Bar,1 Entertainment is not permitted outside 2 All windows amp doors must be closed during live entertainment 3 Sound to exceed 70 decibels any time 50 between 11 p m 7 per city Boston s noise ordinance,,Robert Holland,Robert Holland,(617)816-6956,,31-  Saint James AVE,Boston,MA,02116,771989.620922685,2953191.46471426
CAL-416660,Active,Night Club,2019-12-03,2023-12-31,"Flight Club Seaport, LLC.",Flight Club,1 Entertainment is not permitted outside 2 There to be no cover charge 3 Doors windows must closed whenever live entertainment occurring andmust 11 00p m regardless type offered 4 Noise levels exceed 70 dB any time may 50 between11 00 p 7 per Boston Ordinance,,Brooke Collinson,Brooke Collinson,,,60-  Seaport BLVD,Boston,MA,02210,778553.9122424,2954026.63490403
CAL-416278,Active,Non-Live Entertainment,2019-11-26,2023-12-31,"Boston Harbor Cruises, LLC.",The Landing,1 NOISE FROM SAID ENTERTAINMENT SHALL BE INAUDIBLE ANY PUBLIC WAY OR ABUTTING PREMISES IF MAINTAINED WITHIN BUILDING ALL AMPLIFIERS FACE LICENSED NOT STREET,,Robert Lawler,Robert Lawler,,,6-  Long WH,Boston,MA,02110,777582.672339941,2956608.68277249
CAL-415186,Active,Non-Live Entertainment,2019-11-22,2023-12-31,"Golden Naga, Inc.",Laughing Monk Cafe,1 Entertainment is not permitted outside 2 Noise levels to exceed 70dB any time or 50dB between 11 p m 7 per Boston Ordinance,,Dome Nakapakorn,Dome Nakapakorn,(857)222-4443,,737     Huntington AVE,Boston,MA,02115,762824.999986157,2947010.0000045
CAL-416029,Active,Non-Live Entertainment,2019-11-22,2023-12-31,"Nicholas Chen Sound, LLC.",Tavern of Tales,1 Entertainment is not permitted outside 2 All windows amp doors must be closed during live entertainment 3 Sound to exceed 70 decibels any time 50 between 11 p m 7 per city Boston s noise ordinance 4 Trivia on Thursdays from 7pm 11pm,,Nicholas Chen,Nicholas Chen,(857)600-6336,,1478-1484  Tremont ST,Mission Hill,MA,02120,764681.056801145,2946174.73376612
CAL-415424,Active,Non-Live Entertainment,2019-11-21,2022-12-31,"New England Authentic Eats, LLC",Papa Gino's,1 ENTERTAINMENT IS NOT PERMITTED OUTSIDE 2 SOUND TO EXCEED 70 DECIBELS ANY TIME 50 BETWEEN 11 P M 7 PER CITY BOSTON S NOISE ORDINANCE,,Alice Hammett,Alice Hammett,,,748-   Gallivan BLVD,Dorchester,MA,02122,779081.000001296,2929069.9999878
CAL-415936,Active,Non-Live Entertainment,2019-11-21,2023-12-31,"SWEET RICE JP, INC.",Sweet Rice JP,1 ENTERTAINMENT IS NOT PERMITTED OUTSIDE 2 SOUND TO EXCEED 70 DECIBELS ANY TIME 50 BETWEEN 11 P M 7 PER CITY BOSTON S NOISE ORDINANCE,,PRADIT SAKKARA,PRADIT SAKKARA,(917)374-0159,,697-   Centre ST,Boston,MA,02130,760428.028590477,2938883.59054955
CAL-415938,Active,Non-Live Entertainment,2019-11-21,2023-12-31,LV Corp.,Charlie's House of Pizza,,,Jorgaq Gerdhuqi,Jorgaq Gerdhuqi,(671)903-2203,,1740-   Dorchester AVE,Dorchester,MA,02124,774480.825821012,2931262.02018184
CAL-415945,Active,Non-Live Entertainment,2019-11-21,2023-12-31,"51 Liberty Drive, LLC.",Davio's Northern Italian Steakhouse,1 ENTERTAINMENT IS NOT PERMITTED OUTSIDE 2 SOUND TO EXCEED 70 DECIBELS ANY TIME 50 BETWEEN 11 P M 7 PER CITY BOSTON S NOISE ORDINANCE,,Paul Flaherty,Paul Flaherty,,,50-  Liberty  Dr,Boston,MA,02210,779263.207365052,2954469.45598746
CAL-415890,Active,Non-Live Entertainment,2019-11-20,2023-12-31,"MARGIA, CORP.",Giacomo's Ristorante,1 ENTERTAINMENT IS NOT PERMITTED OUTSIDE 2 ALL WINDOWS DOORS MUST BE CLOSED DURING LIVE 3 SOUND TO EXCEED 70 DECIBELS ANY TIME 50 BETWEEN 11 P M 7 PER CITY BOSTON S NOISE ORDINANCE,,Adriana Travaglione,Adriana Travaglione,(617)921-9574,,353-355   Hanover ST,Boston,MA,02113,776850.99999921,2958190.00001492
CAL-414684,Active,Non-Live Entertainment,2019-11-19,2023-12-31,"Totto South, LLC.",Totto Ramen,1 ENTERTAINMENT IS NOT PERMITTED OUTSIDE 2 ALL WINDOWS DOORS MUST BE CLOSED DURING LIVE 3 SOUND TO EXCEED 70 DECIBELS ANY TIME 50 BETWEEN 11 P M 7 PER CITY BOSTON S NOISE ORDINANCE,,Hieu Nguyen,Hieu Nguyen,(617)981-2336,,20A-  District AV,Dorchester,MA,02125,774387.788430001,2943898.369101
CAL-415059,Active,Non-Live Entertainment,2019-11-15,2023-12-31,"New England Authentic Eats, LLC",Papa Gino's,1 ENTERTAINMENT IS NOT PERMITTED OUTSIDE 2 SOUND TO EXCEED 70 DECIBELS ANY TIME 50 BETWEEN 11 P M 7 PER CITY BOSTON S NOISE ORDINANCE,,Raymond Negron,Raymond Negron,,,1270-   Hyde Park AVE,Boston,MA,02136,757976.053291815,2918344.746694
CAL-415308,Active,Non-Live Entertainment,2019-11-15,2023-12-31,"Met Club Manager, LLC.",Stephanie's on Newbury,1 CAPACITY INSIDE PREMISES INCLUDING BAR MEZZANINE WAITING AREA IS 215 PERSONS 2 OUTDOOR PATIO 80 3 THERE TO BE NO ENTERTAINMENT ON 4 ALL WINDOWS DOORS MUST CLOSED DURING LIVE 5 NOT EXCEED 70 DECIBELS ANY TIME 50 BETWEEN 11 P M 7 PER CITY BOSTON S NOISE ORDIANCE,,Kathy Trustman,Kathy Trustman,,,190-   Newbury ST,Boston,MA,02116,769809.999992654,2952910.00001
CAL-414965,Active,Non-Live Entertainment,2019-11-08,2023-12-31,"667 East Broadway, LLC.",The Paramount,1 ENTERTAINMENT IS NOT PERMITTED OUTSIDE 2 ALL WINDOWS DOORS MUST BE CLOSED DURING LIVE 3 SOUND TO EXCEED 70 DECIBELS ANY TIME 50 BETWEEN 11 P M 7 PER CITY BOSTON S NOISE ORDINANCE,,Ashling Greene,Ashling Greene,,,667- E Broadway ,South Boston,MA,02127,781118.795491189,2947594.13693304
CAL-414902,Active,Non-Live Entertainment,2019-11-07,2023-12-31,"Shawmut Hudson, LLC.",Trillium,1 Entertainment is not permitted outside premise 2 Noise levels to exceed 70dB any time must 50 dB between 11pmand 7am per Boston Ordinance,,BRANDON KEATING,BRANDON KEATING,(978)979-2611,,401-  Park Dr,Boston,MA,02215,763554.452221341,2950829.77260681
CAL-414182,Active,Non-Live Entertainment,2019-10-30,2023-12-31,"Distraction Brewing Company, LLC.",Distraction Brewing Co.,1 Entertainment is not permitted outside 2 to exceed 70 decibels any time toexceed 50 between 11 p m 7 per City Boston Noise Ordinance,,Michael Estey,Michael Estey,(781)820-8863,,2-16  Belgrade AVE,Roslindale,MA,02131,756208.137739577,2929780.32021688
CAL-410243,Active,Night Club,2019-10-28,2023-12-31,"Big Causeway, LLC","Big Night Live!, Guy Fieri's",1 Entertainment is not permitted outside 2 Live entertainment seven 7 days week until 00 m 3 No more than fifty five 55 performers staff on stage 4 Licensee to have manage capacity counts each room Capacity exceed 143 persons in entire space 5 guest list must be submitted Licensing Division private events with attendees under 21 years age 6 licensee submit detailed month periodically check all public non areas including restroom facilities assure that illegal disruptive activity will take place premises 8 begin dispersal 45 All patrons out premise 20 security closing making sure exit an orderly fashion do congregate area,,James Pollack,James Pollack,,,101-111   Causeway ST,Boston,MA,02114,774577.393661097,2958288.39406301
CAL-413981,Active,Non-Live Entertainment,2019-10-25,2023-12-31,"Tea Do, LLC",Tea Do,1 ENTERTAINMENT IS NOT PERMITTED OUTSIDE 2 SOUND TO EXCEED 70 DECIBELS ANY TIME 50 BETWEEN 11 P M 7 PER CITY BOSTON S NOISE ORDINANCE,,Shi Poon,Shi Poon,,(215)609-5555,8-   Tyler ST,Boston,MA,02111,774986.999997482,2953250.00001031
CAL-413304,Active,Non-Live Entertainment,2019-10-18,2023-12-31,"EK Boston Lounge, LLC.",Emirates Lounge,,,James Dykes,James Dykes,,,500-  Terminal E ,East Boston,MA,02128,786026.24257198,2960188.30364545
CAL-413037,Active,Non-Live Entertainment,2019-10-16,2023-12-31,"Guzbin, LLC.",Medallo,1 Entertainment is not permitted outside 2 Noise levels to exceed 70 dB per Boston Ordinance any time 50dB between 11 p m 7 3 No cover charge 4 Live entertainment only Friday Sunday 5 Doors windows must be closed whenever live occurring 00 regardless offered,,Luis Maldonado,Luis Maldonado,(857)756-5537,,411     Chelsea ST,East Boston,MA,02128,784015.430597886,2963819.48613216
CAL-413243,Active,Non-Live Entertainment,2019-10-16,2023-12-31,"Tezcanlar, Inc.",Thornton's Restaurant,1 Entertainment is not permitted outside 2 Noise levels to exceed 70 dB any time per Boston Ordinance,,Sazi Murat Tezcan,Sazi Murat Tezcan,,,150-   Huntington AVE,Boston,MA,02115,769224.267818721,2950991.17221247
CAL-413038,Active,Live Entertainment,2019-10-11,2023-12-31,"Patina BOS, LLC.",Banners Kitchen & Tap and Hub Hall,1 Entertainment is not permitted outside 2 Noise levels to exceed 70 dB any time may 50 between 11 00 p m 7 per Boston Ordinance 3 Live entertainment days from until 4 Athletic event include sports simulating suites 5 There no cover charge 6 Dancing patrons dance floor,,Jacqueline Kelly,Jacqueline Kelly,(857)300-7620,,80-  Causeway ST,Boston,MA,02114,774628.606784228,2958574.97927649
CAL-413028,Active,Live Entertainment,2019-10-10,2023-12-31,"The J, LLC.",Hunter's,1 Entertainment is not permitted outside 2 Noise levels to exceed 70 decibels any time may 50 after 11 00 p m 7 per Boston Ordinance 3 Automatic amusement device consist Golden Tee 4 Live entertainment consisting instrumental vocal music seven days week until 5 Instrumentalists three performers vocalists 6 There be no cover charge,,Michael Conlon,Michael Conlon,(617)529-3199x7,,110-112   Dorchester ST,South Boston,MA,02127,778932.027009144,2947476.70848493
CAL-411549,Active,Non-Live Entertainment,2019-10-09,2023-12-31,"SSP America BOS, LLC",Temazcal - Terminal B,,,Jacqueline Genao,Jacqueline Genao,,,300     Terminal RD,East Boston,MA,02128,0,0
CAL-411550,Active,Non-Live Entertainment,2019-10-09,2023-12-31,"GF Enterprise, LLC.",Taco Bell #35162,1 ENTERTAINMENT IS NOT PERMITTED OUTSIDE 2 SOUND TO EXCEED 70 DECIBELS ANY TIME 50 BETWEEN 11 P M 7 PER CITY BOSTON S NOISE ORDINANCE,,Jose Lopez,Jose Lopez,,,76-   Summer ST,Boston,MA,02110,775578.801900884,2954354.08026375
CAL-410813,Active,Non-Live Entertainment,2019-10-04,2023-12-31,"SS Investments East, Inc.",Dirty Water Dough,1 Entertainment is NOT permitted outside 2 not to exceed 70 decibels any time 50 between 11 p m 7 per Boston Noise Ordinance,,Samuel Sokol,Samuel Sokol,(617)224-2800,,20-22   Maverick ST,East Boston,MA,02128,779905.011906058,2960796.32542534
CAL-410817,Active,Non-Live Entertainment,2019-10-02,2023-12-31,"TASTES ON THE FLY LOGAN, LLC",Davio's,,,Antonio Alicea,Antonio Alicea,,,300     Logan Airport Terminal C  ,East Boston,MA,02128,0,0
CAL-411299,Active,Live Entertainment,2019-10-02,2023-12-31,"Boston Amici Group, Inc.",Pazza on Porter,1 Entertainment is not permitted outside 2 to exceed 70 decibels any time 50 decibelsbetween 11 p m 7 per Boston Noise Ordinance 3 Live entertainment may be operated seven days week until 00 4 Doors windows should closed 10 whenever live offered prevent emanation sound 5 Instrumental performers three people Vocal music,,Raffaele Scalzi,Raffaele Scalzi,(617)840-7417,,107-107H   Porter ST,East Boston,MA,02128,781505.329603553,2961287.8431218
CAL-410795,Active,Non-Live Entertainment,2019-09-27,2023-12-31,"BESPOKE HOSPITALITY, LLC",Cambria Hotel,1 Entertainment is NOT permitted outside 2 not to exceed 70 decibels any time 50 between 11 p m 7 per Boston Noise Ordinance,,Brett Fodiman,Brett Fodiman,(203)395-3459,,6- W Broadway ,South Boston,MA,02127,775921.344749519,2950338.72818444
CAL-411015,Active,Non-Live Entertainment,2019-09-27,2023-12-31,"HSI MCA BOS FB, LLC.",Trade,,,Saikou Boiro,Saikou Boiro,(617)634-6068,,200     Terminal RD,East Boston,MA,02128,786260.691515774,2957555.9447256
CAL-410824,Active,Non-Live Entertainment,2019-09-26,2023-12-31,"Delaware North Boston Flight, LLC.",Monica's Mercado,,,Mark Clemency,Mark Clemency,(857)322-1255,,500     Terminal RD,East Boston,MA,02128,786028.486599609,2960188.32331911
CAL-410903,Active,Live Entertainment,2019-09-26,2023-12-31,"CMG 10 PO Square, LLC",Mariel,1 Entertainment is not permitted outside 2 Live entertainment may be operated seven 7 days week until 00 m 3 In order to prevent emanation noise licensee must close doors windows whenever live occurring all 11 p regardless type offered 4 exceed 70 decibels any time 50 between per Boston Noise Ordinance 5 Floor show consist dance lessons salsa dancing,,MICHAEL ADKINS,MICHAEL ADKINS,(617)224-6008,,10-  Post Office SQ,Boston,MA,02109,776213.280059088,2955617.61679348
CAL-410826,Active,Non-Live Entertainment,2019-09-25,2023-12-31,"PT OpCo, LLC.",Pink Taco,1 Entertainment is NOT permitted outside 2 not to exceed 70 decibels any time 50 between 11 p m 7 per Boston Noise Ordinance 3 until 00a on Friday Saturday,,John Bouche,John Bouche,(617)535-8070,(617)535-8070,374-  Congress ST,Boston,MA,02210,778508.428049128,2952871.84396435
CAL-383930,Active,Non-Live Entertainment,2019-09-17,2020-12-31,Tremont 958 Restaurant Corp.,Slade's Bar & Grill,1 No admission new patrons after 00a m 2 Disc jockey is permitted six 6 days week on Tuesdays from 10 00p until 12 Wednesdays through Sundays 30a disc Mondays Dancing to run concurrent with 3 Karaoke will operation Thursdays once month 7 4 Instrumental vocalists Tuesday Friday 30p 5 Floor show stage play consisting comedians 9 11 In order prevent emanation noise licensee must close all doors windows whenever live entertainment occurring 00 p regardless type offered Licensee have security staff outside premise closing ensure orderly dispersal do not congregate,,Britney Papile,Britney Papile,(617)442-4600,,958     Tremont ST,Roxbury,MA,02120,768744.471479669,2948193.0834296
CAL-409713,Active,Non-Live Entertainment,2019-09-17,2022-12-31,"citizenM Bosto North Station Operations, LLC",citizenM,1 Entertainment is not permitted outdoors 2 Sound to exceed 70 dB any time per Boston Noise Ordinance,,Justine Mahan,Justine Mahan,(617)207-9152,,70-  Causeway ST,Boston,MA,02114,774628.606784228,2958574.97927649
CAL-409717,Active,Non-Live Entertainment,2019-09-13,2023-12-31,"BRAEMORE LOUNGE, INC.",Cornwall's,1 Entertainment is not permitted outside 2 All windows amp doors must be closed during live entertainment 3 Sound to exceed 70 decibels any time 50 between 11 p m 7 per city Boston s noise ordinance,"654 Beacon Street, Boston, MA 02215",John F Beale,John F Beale,,,642-648   Beacon ST,Boston,MA,02215,765502.517268643,2952637.20016974
